OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18030561,03/06/2018,15:49:00,03/20/2018,16:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
18030582,03/23/2018,15:02:00,03/23/2018,16:25:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,ONCAM,Z3,The Student Center,351,,Ferst Drive NW,,,2
18030654,03/29/2018,22:08:00,03/29/2018,22:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Alumni-Faculty House,190,,North Avenue  NW,,,1
18040708,04/06/2018,03:29:00,04/06/2018,04:10:00,5309,Harassing Communication,Closed/Cleared,Prosecution Declined,NONCAM,Z3,Sigma Alpha Epsilon Fraternity,221,,Fourth Street  NW,33.776093423900001,-84.394534182499996,1
18040713,04/04/2018,16:00:00,04/06/2018,17:17:00,2317,Larceny - Bicycle,Further Investigation,,ONCAM,Z2,Field Residence Hall,711,,Techwood Drive NW,,,1
18040735,04/08/2018,23:51:00,04/09/2018,00:14:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Towers Residence Hall,112,,Bobby Dodd Way NW,,,1
18040782,04/13/2018,00:35:00,04/13/2018,01:15:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z4,Nelson and Shell Undergraduate Living Center,580,,Turner Place NW,,,1
18040805,04/15/2018,15:29:00,04/15/2018,15:50:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,,48,,Fifth Street  NW,,,1
18050986,05/05/2018,18:55:00,05/05/2018,19:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Stamps Field,750,,Ferst Drive  NW,,,1
18051044,05/11/2018,17:21:00,05/11/2018,18:00:00,4803,Making A False Report/Giving False Information,Closed/Cleared,Cleared by Arrest,PUB,Z2,Fifth Street  NW at Spring Street  NW,,,,,,1
18051055,05/13/2018,11:20:00,05/14/2018,11:12:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive  NW,33.7741360837,-84.398818020899995,1
