OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18051034,05/11/2018,08:14:00,05/11/2018,08:14:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCLERY,Z2,I-75S @ North Avenue  NW,,,,,,1
18051068,05/15/2018,11:50:00,05/15/2018,11:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Tech Walkway,686,,Cherry Street NW,33.778956412500001,-84.401314659600004,1
18051089,05/10/2018,16:00:00,05/15/2018,09:30:00,2903,Damage to Property - Public,Inactive,,NONCAM,Z2,Phi Delta Theta Fraternity,734,,Fowler Street NW,33.7746375385,-84.3942054445,1
18061175,05/30/2018,17:27:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
18061187,06/06/2018,14:20:00,06/06/2018,14:23:00,2902,Damage to Property - Private,Inactive,,ONCAM,Z1,Engineered Biosystems Building (EBB),950,,Atlantic Drive NW,,,1
18061282,05/23/2018,05:30:00,05/31/2018,16:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building Lot,879,,Hemphill Avenue  NW,33.778956412500001,-84.401314659600004,1
18071454,07/13/2018,01:19:00,07/13/2018,01:45:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,4th Street and Fowler Street,,,,,,1
18071528,07/19/2018,21:17:00,07/19/2018,22:00:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,ONCAM,,Zelnak Basketball Practice Facility,177,,Eighth Street  NW,33.779905933899997,-84.392286900200006,1
18071578,07/25/2018,10:30:00,07/25/2018,10:30:00,5309,Harassing Communication,Closed/Cleared,Prosecution Declined,ONCAM,Z1,Beringause Building,879,,Hemphill Avenue NW,,,1
18071607,07/27/2018,22:08:00,07/27/2018,22:48:00,1313,Simple Assault/Battery,Closed/Cleared,Prosecution Declined,PUB,Z1,Tenth Street @ Atlantic Drive,,,,,,1
18071639,07/31/2018,11:47:00,07/31/2018,12:10:00,1313,Simple Assault/Battery,Further Investigation,,ONCAM,Z4,Marietta Street @ Means Street,,,,33.772330,-84.404237,1
18071496,07/17/2018,11:30:00,07/17/2018,11:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library,704,,Cherry Street NW,33.774317321700003,-84.395723825199994,1
18071508,05/18/2018,07:30:00,07/18/2018,07:30:00,5707,Criminal Trespass,Inactive,,ONCAM,Z3,Manufacturing Rel. Disc. Complex (MRDC)   135  Z3,801,,Ferst Drive NW,33.776967917900002,-84.400502691,1
18071512,07/17/2018,13:30:00,07/17/2018,22:30:00,2308,Larceny - From Building,Inactive,,ONCAMRES,Z2,Brown Residence Hall,625,,Techwood Drive NW,,,1
18081650,08/01/2018,12:00:00,08/01/2018,14:00:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z1,Engineered Biosystems Building (EBB),950,,Atlantic Drive NW,,,1
18081660,08/03/2018,00:06:00,08/03/2018,02:14:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z2,Fifth Street  NW @ West Peachtree Street  NW,,,,,,1
18071541,07/20/2018,22:37:00,07/20/2018,22:50:00,3562,Marijuana - Possession of,Closed/Cleared,Arrest On Primary Offense/Secondary Offense Without Prosecution,PUB,Z2,North Avenue  NW @ Williams Street  NW,,,,33.770969,-84.389392,1
18071638,07/31/2018,02:38:00,07/31/2018,03:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Stephen C. Hall Building,251,,Bobby Dodd Way,,,1
18081664,07/19/2018,08:00:00,08/03/2018,13:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
